time,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,galaxy_score,alt_rank,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,volatility,spam
2024-05-17 02:00:00,65346.15,65366.67,65366.67,65193.23,29724420538.75,1287678654352.79,54.584444853592686,19699315,81,47,63,12157,517,24434,698,3410207,10.326872522252183,,
2024-05-17 03:00:00,65392.13,65655.48,65655.48,65365.05,30018454222.73,1293367915616.54,54.7943493928042,19699315,80,48,56,11707,499,23622,681,3034845,9.984740955528974,,
2024-05-17 04:00:00,65414.79,65414.79,65414.79,65397.98,29910861123.57,1288630527875.19,54.44178373759776,19699375,81,69,95,11893,492,24061,629,3289369,10.051886634804987,,
2024-05-17 05:00:00,65455.55,65602.0,65602.0,65446.51,29892520131.62,1292318372685.33,54.71678708364047,19699375,80,50,34,12096,472,24059,530,3173408,10.045343710334691,,
2024-05-17 06:00:00,65715.4,66124.08,66124.08,65616.33,29975385005.0,1302602980931.24,55.011766434387354,19699375,81,43,24,12360,611,24776,730,3383482,10.220236695665804,,
2024-05-17 07:00:00,65976.31,66222.52,66222.52,65972.29,31027181621.76,1304547318935.21,54.794666252983724,19699450,81,69,118,12392,861,24439,1138,3373833,10.292142023895256,,
2024-05-17 08:00:00,66170.05,66170.05,66170.05,66086.94,31374373120.45,1303513552572.46,54.20595681415266,19699450,81,48,88,12408,820,24386,1021,3342557,10.238002275484801,,
2024-05-17 09:00:00,66158.93,66312.79,66312.79,66094.98,31169806539.71,1306325544391.09,54.519847070901605,19699450,82,69,109,12379,634,24667,783,3570133,10.200435855977306,,
2024-05-17 10:00:00,66355.76,66438.91,66438.91,66213.24,31287569218.23,1308813835322.5,54.489860864903996,19699509,81,46,62,12928,686,25841,928,3770677,10.318322299331571,,
2024-05-17 11:00:00,66322.46,66322.46,66322.46,66209.57,31394116516.97,1306519846563.15,54.29591633193053,19699509,81,69,178,12847,789,25692,1110,4223419,10.32736276811268,,
2024-05-17 12:00:00,66233.7,66551.25,66551.25,66139.78,30172008409.88,1311027016780.59,54.62968302053092,19699509,81,43,107,13020,792,26215,1109,3902730,10.561621207848193,,
2024-05-17 13:00:00,66016.31,66016.31,66016.31,65851.8,29887790488.03,1300493365077.3,53.91670839288349,19699578,82,43,222,13158,779,26751,1125,4207572,10.558910597986975,,
2024-05-17 14:00:00,65955.88,66446.15,66446.15,65942.44,29244802989.83,1308961051223.99,54.63267961636748,19699578,81,49,137,13387,786,27091,1174,4423340,10.76184195890868,,
2024-05-17 15:00:00,66739.81,67126.81,67126.81,66611.1,30535798444.3,1322369828841.08,54.65056605791248,19699578,82,69,64,13187,1183,26731,1593,4871122,10.781585273381411,,
2024-05-17 16:00:00,67070.43,67070.43,67070.43,66976.32,29821640293.78,1321263051826.71,54.243555139222025,19699637,82,46,99,13197,921,26951,1249,4596465,10.724589237607491,,
2024-05-17 17:00:00,66725.21,66725.21,66725.21,66720.58,28769150063.06,1314462317363.97,54.14772551786121,19699637,82,69,174,13476,742,27497,997,4569942,10.65725625164721,,
2024-05-17 18:00:00,66714.44,66714.44,66714.44,66289.44,28603922477.67,1314250216981.76,54.30312848446079,19699637,82,70,2,13338,759,26964,1085,4360846,10.623443754530841,,
2024-05-17 19:00:00,66845.0,66959.41,66959.41,66686.88,28563660747.18,1319079910090.96,54.48095599150229,19699693,81,70,167,13281,621,26809,866,4321704,10.70788083094018,,
2024-05-17 20:00:00,66924.37,66929.62,66929.62,66803.61,28562094071.65,1318492881792.78,54.390409018458996,19699693,82,45,97,13420,848,26835,1180,4037365,10.64648588601694,,
2024-05-17 21:00:00,66815.91,66815.91,66815.91,66815.91,28358597861.87,1316252904840.25,54.288987524967666,19699693,81,71,211,13113,832,26396,1188,3862746,10.718099685311136,,
2024-05-17 22:00:00,66798.01,66798.01,66798.01,66720.25,28134005981.39,1315903631027.74,54.32994801789691,19699743,80,72,149,13125,502,26475,719,3797621,10.720402981871485,,
2024-05-17 23:00:00,66789.5,67027.78,67027.78,66731.26,28018394301.52,1320430070919.56,54.5078462548168,19699743,80,72,1,12528,527,25229,849,2809351,10.666029695268374,,
